Year,Emissions,LULCC,AGR,Ocean,Land
1959,2.454,1.4727759,2.0352,0.923444288,0.968131612
1960,2.569,1.4606345,1.5052,0.930760194,1.593674306
1961,2.58,1.530231,1.6536,0.802892886,1.653738114
1962,2.686,1.5198038,1.1872,0.865544889,2.153058911
1963,2.833,1.5262845,1.2084,1.033248289,2.117636211
1964,2.995,1.5173337,1.0388,1.287387154,2.186146546
1965,3.13,1.5484721,2.332,1.511583149,0.834888951
1966,3.288,1.5508256,2.332,1.495370831,1.011454769
1967,3.393,1.594899,1.2932,1.248098089,2.446600911
1968,3.566,1.5460563,2.0988,1.231759593,1.781496707
1969,3.78,1.5427741,2.7984,1.321861089,1.202513011
1970,4.053,1.5310014,2.3956,1.208943602,1.979457798
1971,4.208,1.4047031,1.5476,1.30971545,2.75538765
1972,4.376,1.3261336,3.1164,1.601937292,0.983796308
1973,4.614,1.3175873,3.0952,1.55160138,1.28478592
1974,4.623,1.2897675,1.4416,1.492120721,2.979046779
1975,4.596,1.3024158,2.6076,1.537181314,1.753634486
1976,4.864,1.3194059,2.0564,1.648294043,2.478711857
1977,5.016,1.3512792,4.0704,1.704741553,0.592137647
1978,5.074,1.2985151,2.7348,1.715967734,1.921747366
1979,5.357,1.2515593,4.5368,1.546100252,0.525659048
1980,5.301,1.2433824,3.6252,1.766983362,1.152199038
1981,5.138,1.2520549,2.438,1.810194928,2.141859972
1982,5.094,1.2573836,2.12,1.92541624,2.30596736
1983,5.075,1.4321564,3.9008,2.112970484,0.493385916
1984,5.258,1.46034,2.6288,1.982726502,2.106813498
1985,5.417,1.4988356,3.4556,1.993002223,1.467233377
1986,5.583,1.529187,2.1836,2.039080835,2.889506165
1987,5.725,1.5147715,5.7028,2.020493489,-0.483521989
1988,5.936,1.5141773,4.77,1.874299084,0.805878216
1989,6.066,1.5312021,2.9256,1.968068749,2.703533351
1990,6.086242548,1.4442218,2.5016,2.033838727,2.995025621
1991,6.165851166,1.6358689,1.5476,2.13007651,4.124043555
1992,6.115328172,1.6820379,1.484,2.375833252,3.93753282
1993,6.124182677,1.5457908,2.5864,2.4170028,2.666570678
1994,6.225964135,1.5028061,3.5616,2.209018225,1.958152011
1995,6.323256277,1.4851806,4.134,2.108606754,1.565830122
1996,6.475108905,1.4693037,2.2684,2.033099774,3.642912831
1997,6.568863904,2.181991871,4.1976,2.147788041,2.405467735
1998,6.5929484,1.540311971,5.9572,2.331916807,-0.155856435
1999,6.623552607,1.302641171,2.862,2.21281911,2.851374669
2000,6.785099389,1.200610571,2.6288,2.098496531,3.258413429
2001,6.974110973,0.961219671,3.9008,1.997704298,2.036826346
2002,7.073644206,1.070004171,5.0456,2.26433692,0.833711457
2003,7.473479409,0.900496271,4.8336,2.384752133,1.155623548
2004,7.854862408,1.037584471,3.3072,2.272249612,3.312997267
2005,8.233377793,1.025036071,5.1516,2.294299555,1.81251431
2006,8.526107949,1.091981171,3.7524,2.452690946,3.412998175
2007,8.775553032,0.965626871,4.4308,2.485893041,2.824486862
2008,8.963833538,0.667933271,3.7736,2.474205958,3.383960852
2009,8.871867434,0.754406171,3.4344,2.516668614,3.675204992
2010,9.207411441,0.884574071,5.1728,2.48900204,2.430183473
2011,9.543422853,0.913101271,3.5828,2.64653456,4.227189564
2012,9.686631691,0.970101271,4.982,2.74161262,2.933120342
2013,9.821560919,0.918101271,5.2364,2.751541361,2.75172083
2014,9.890947818,1.095101271,4.2188,2.884375587,3.882873502
2015,9.896706046,1.317101271,6.2964,3.032982942,1.884424375